event,det,logZ_GR,logZ_EDR,dlogZ,BayesFactor,favored
GW170104,L1,-16232.439967653876,-16232.439978958362,-1.1304486179142259e-05,0.9999886955777163,GR
GW170608,H1,-16203.633361019107,-16203.633364158408,-3.139301043120213e-06,0.9999968607038845,GR
GW190814,H1,-16227.656612800616,-16227.656622862569,-1.006195270747412e-05,0.9999899380979138,GR
GW170729,L1,-16540.228001032985,-16540.216011623303,0.011989409682428231,1.0120615707558873,EDR
GW170608,L1,-16689.487363748205,-16689.48736243227,1.3159333320800215e-06,1.0000013159341978,EDR
GW190412,H1,-16335.473735097463,-16335.47375646699,-2.13695275306236e-05,0.9999786307007961,GR
GW190521,H1,-16473.497915955195,-16473.385008433117,0.11290752207787591,1.1195283965013747,EDR
GW151226,L1,-16421.213813607068,-16421.213818128937,-4.52186941402033e-06,0.9999954781408096,GR
GW170814,L1,-16666.836305044522,-16666.835433697725,0.0008713467977941036,1.0008717265307001,EDR
GW190412,L1,-16665.11871506918,-16665.118778153814,-6.308463343884796e-05,0.9999369173563548,GR
GW190814,L1,-16237.564469267783,-16237.564510030723,-4.076293953403365e-05,0.9999592378912633,GR
GW170104,H1,-16653.941012462088,-16653.94068263907,0.000329823018546449,1.0003298774161387,EDR
GW150914,L1,-16615.99686182046,-16615.993894559717,0.002967260741570499,1.002971667417232,EDR
GW150914,H1,-16646.997562580633,-16646.9951091403,0.002453440331009915,1.00245645247861,EDR
GW190521,L1,-16394.06188903297,-16393.973796963895,0.08809206907608313,1.0920886649940644,EDR
GW170823,H1,-16231.171453527244,-16231.170100511334,0.0013530159103538608,1.0013539316493372,EDR
GW170814,H1,-16764.07772796397,-16764.076905687452,0.0008222765172831714,1.0008226146792998,EDR
GW151226,H1,-16628.947895800695,-16628.94789003277,5.767924449173734e-06,1.0000057679410836,EDR
GW170823,L1,-16412.551248091862,-16412.549566740603,0.0016813512593216728,1.0016827655228637,EDR
GW170729,H1,-16919.789722836606,-16919.77572913136,0.013993705244502053,1.0140920754567337,EDR
